English,Italian
you,tu
i,io
the,il
to,a
a,un
s,s
it,esso
and,e
that,quello
t,t
of,di
is,è
in,in
what,che cosa
we,noi
me,me
this,questo
he,lui
for,per
my,mio
on,su
have,avere
your,tuo
do,fare
was,era
m,m
no,no
not,non
be,essere
are,sono
don,assistente
re,rif
know,sapere
can,potere
with,con
but,ma
all,tutto
so,così
just,appena
there,là
here,qui
they,essi
like,piace
ll,ll
get,ottenere
she,lei
go,andare
if,se
right,giusto
out,fuori
about,di
up,su
at,a
him,lui
now,ora
oh,oh
one,uno
come,venire
well,bene
her,suo
how,come
yeah,sì
ve,ve
will,volere
got,avuto
want,volere
think,pensare
as,come
see,vedere
did,fatto
good,bene
who,chi
why,perché
from,da
let,permettere
his,il suo
yes,sì
when,quando
going,andando
time,tempo
an,un
okay,va bene
back,indietro
look,aspetto
us,noi
would,volevo
them,loro
where,dove
were,erano
take,prendere
then,poi
had,avevo
or,o
been,stato
our,nostro
gonna,andando
tell,raccontare
really,veramente
man,uomo
some,alcuni
say,dire
hey,ehi
could,potevo
d,d
didn,non
by,di
need,bisogno
something,qualcosa
has,ha
too,pure
more,di più
way,modo
down,giù
make,fare
very,molto
never,mai
only,soltanto
people,persone
over,sopra
because,perché
little,poco
please,per favore
love,amore
should,dovrebbe
mean,significare
said,disse
sorry,scusa
give,dare
off,spento
am,sono
thank,grazie
any,qualunque
two,due
even,anche
much,tanto
doing,facendo
sure,sicuro
thing,cosa
these,questi
help,aiuto
first,primo
into,in
anything,nulla
still,ancora
find,trovare
life,vita
nothing,niente
sir,signore
day,giorno
god,dio
work,lavoro
their,loro
uh,uh
again,ancora
maybe,forse
must,dovere
before,prima
other,altro
wait,aspettare
stop,fermare
call,chiamata
after,dopo
won,vinto
talk,parlare
away,lontano
than,di
thought,pensiero
home,casa
night,notte
put,mettere
great,grande
those,quelli
last,scorso
better,meglio
everything,qualunque cosa
told,detto
mr.,sig.
new,nuovo
things,cose
always,sempre
keep,mantenere
long,lungo
years,anni
leave,partire
does,fa
money,soldi
around,in giro
doesn,non
name,nome
place,posto
ever,mai
feel,tatto
guys,ragazzi
father,padre
guy,tipo
made,fatto
old,vecchio
isn,non è
which,quale
big,grande
lot,quantità
done,fatto
hello,ciao
nice,carino
believe,credere
girl,ragazza
someone,qualcuno
fine,bene
thanks,grazie
wanted,ricercato
kind,tipo
coming,in arrivo
house,casa
every,ogni
ok,ok
through,attraverso
being,essendo
course,corso
stay,rimanere
left,sinistra
dad,papà
enough,abbastanza
happened,accaduto
came,venni
may,maggio
mother,madre
wrong,sbagliato
world,mondo
bad,cattivo
might,potrebbe
three,tre
today,oggi
listen,ascoltare
another,un altro
understand,capire
hear,ascoltare
remember,ricordare
ask,chiedere
own,proprio
same,stesso
show,spettacolo
else,altro
kill,uccisione
talking,parlando
found,trovato
next,prossimo
getting,ottenere
care,cura
car,auto
looking,guardare
son,figlio
try,tentativo
woman,donna
went,andato
hi,ciao
dead,morto
many,molti
mind,mente
wasn,non era
friend,amico
best,migliore
mom,mamma
hell,inferno
morning,mattina
trying,provando
boy,ragazzo
together,insieme
yourself,te stesso
job,lavoro
saw,sega
family,famiglia
real,vero
without,senza
baby,bambino
room,camera
wouldn,non
already,già
move,mossa
most,maggior parte
seen,visto
live,vivere
miss,mancare
actually,in realtà
huh,eh
shit,merda
both,entrambi
heard,sentito
once,una volta
ready,pronto
head,testa
called,chiamato
used,usato
idea,idea
knew,sapevo
hold,presa
happy,contento
door,porta
such,come
fuck,fanculo
brother,fratello
also,anche
pretty,bello
bit,morso
took,preso
haven,rifugio
yet,ancora
men,uomini
whole,totale
start,inizio
use,utilizzo
while,mentre
since,da
wife,moglie
days,giorni
guess,indovinare
tomorrow,domani
matter,questione
meet,incontrare
bring,portare
tonight,stasera
everyone,tutti
run,correre
wanna,voglio
hard,difficile
ah,ah
alone,solo
myself,me stessa
school,scuola
gone,andato
um,ehm
end,fine
saying,detto
phone,telefono
play,giocare
looks,sembra
couldn,non poteva
fucking,cazzo
problem,problema
few,pochi
friends,amici
gotta,devo
ago,fa
open,aprire
anyone,chiunque
killed,ucciso
hope,speranza
face,viso
until,fino a
lost,perduto
police,polizia stradale
excuse,scusa
turn,giro
business,attività commerciale
case,caso
wants,vuole
says,dice
true,vero
die,morire
heart,cuore
soon,presto
each,ogni
worry,preoccupazione
later,dopo
year,anno
watch,orologio
music,musica
hand,mano
having,avendo
probably,probabilmente
beautiful,bellissimo
doctor,medico
sit,sedersi
eat,mangiare
thinking,pensiero
young,giovane
second,secondo
working,lavorando
water,acqua
person,persona
part,parte
kids,bambini
late,tardi
stuff,cose
exactly,esattamente
under,sotto
death,morte
minute,minuto
pay,paga
crazy,pazzo
forget,dimenticare
everybody,tutti
kid,ragazzo
change,modifica
gave,ha dato
happen,accadere
damn,dannazione
five,cinque
drink,bere
far,lontano
knows,sa
its,suo
whatever,qualunque cosa
eyes,occhi
shut,chiuso
aren,arena
hit,colpo
taking,prendendo
easy,facile
times,volte
check,controllo
hands,mani
minutes,minuti
deal,affare
different,diverso
means,significa
point,punto
inside,dentro
makes,fa
asked,chiesto
somebody,qualcuno
mine,mio
making,fabbricazione
body,corpo
afraid,paura
sleep,sonno
chance,opportunità
dear,caro
quite,abbastanza
four,quattro
anyway,comunque
close,vicino
ain,ain
party,festa
fun,divertimento
against,contro
word,parola
comes,viene
important,importante
set,impostato
shall,deve
story,storia
number,numero
daughter,figlia
least,meno
waiting,in attesa
hurt,male
wish,desiderio
moment,momento
fight,combattimento
week,settimana
husband,marito
girls,ragazze
rest,riposo
married,sposato
fire,fuoco
game,gioco
nobody,nessuno
mr,sig
children,bambini
side,lato
stand,in piedi
read,leggere
though,anche se
cut,taglio
started,iniziato
sister,sorella
supposed,presunto
between,fra
child,bambino
goes,va
hours,ore
speak,parlare
women,donne
behind,dietro
almost,quasi
truth,verità
blood,sangue
able,capace
lady,signora
anymore,più
playing,giocando
gets,ottiene
shot,sparo
reason,motivo
trouble,guaio
break,rottura
war,guerra
city,città
walk,camminare
town,città
trust,fiducia
dr.,dottore
met,incontrato
office,ufficio
question,domanda
brought,portato
yours,il tuo
welcome,benvenuto
high,alto
wow,oh
couple,coppia
half,metà
died,morto
cool,freddo
free,gratuito
either,o
seems,sembra
power,energia
whoa,wow
bye,ciao
buy,acquistare
telling,raccontare
honey,miele
tried,provato
front,davanti
team,squadra
answer,risposta
gun,pistola
boys,ragazzi
line,linea
send,inviare
news,notizia
stupid,stupido
bed,letto
hurry,fretta
full,pieno
months,mesi
save,salva
sometimes,a volte
become,diventare
along,lungo
hate,odio
food,cibo
outside,al di fuori
light,leggero
l,l
needs,esigenze
dog,cane
country,paese
clear,chiaro
order,ordine
em,loro
fact,fatto
lord,signore
captain,capitano
six,sei
hot,caldo
funny,divertente
black,nero
mrs.,sig.ra.
alive,vivo
pick,scegliere
feeling,sensazione
living,vita
cause,causa
ahead,avanti
lose,perdere
king,re
plan,piano
dinner,cena
sighs,sospiri
sort,ordinare
leaving,in partenza
shouldn,non dovrebbe
running,corsa
boss,capo
alright,bene
promise,promessa
taken,preso
safe,sicuro
ma,ma
book,libro
sent,inviato
white,bianco
hour,ora
anybody,nessuno
small,piccolo
perfect,perfetto
cause,causa
lives,vite
special,speciale
parents,genitori
s,s
john,giovanni
himself,se stesso
perhaps,forse
sounds,suoni
serious,serio
sick,malato
company,azienda
ha,ha
scared,impaurito
uncle,zio
poor,povero
red,rosso
past,passato
earth,terra
possible,possibile
shoot,sparare
touch,tocco
sound,suono
top,superiore
ass,culo
laughs,risate
cannot,non può
asking,chiedendo
win,vincita
glad,lieto
control,controllare
hmm,hmm
human,umano
drive,guidare
hair,capelli
jack,cricco
bitch,cagna
luck,fortuna
murder,omicidio
happens,succede
air,aria
ten,dieci
daddy,papà
finally,finalmente
chuckles,risatine
fast,veloce
cold,freddo
seem,sembrare
laughing,ridendo
words,parole
hospital,ospedale
street,strada
hang,appendere
dance,ballare
meeting,incontro
till,fino
others,altri
catch,presa
follow,seguire
sense,senso
sex,sesso
lie,menzogna
evening,sera
master,maestro
known,conosciuto
dream,sogno
write,scrivere
million,milioni
voice,voce
sweet,dolce
rather,piuttosto
felt,sentito
sign,cartello
lucky,fortunato
somewhere,in qualche luogo
bet,scommettere
o,o
jesus,gesù
longer,più lungo
calling,chiamando
worked,lavorato
quiet,tranquillo
looked,guardato
less,meno
pull,tiro
beat,colpo
careful,attento
coffee,caffè
return,ritorno
secret,segreto
weeks,settimane
weren,non erano
date,data
seeing,vedere
fall,autunno
given,dato
ooh,oh
fault,colpa
straight,dritto
takes,prende
song,canzone
future,futuro
gentlemen,signori
loved,amato
changed,cambiato
road,strada
calm,calma
wonderful,meraviglioso
mad,pazzo
turned,girato
drop,gocciolare
ladies,signore
learn,imparare
step,fare un passo
absolutely,assolutamente
early,presto
explain,spiegare
clean,pulito
piece,pezzo
yesterday,ieri
throw,gettare
picture,immagine
land,terra
feet,piedi
wonder,meraviglia
questions,domande
speaking,a proposito di
worth,di valore
darling,tesoro
dude,tizio
giving,dare
president,presidente
eye,occhio
quick,presto
moving,in movimento
figure,figura
state,stato
strong,forte
sam,sam
none,nessuno
amazing,sorprendente
ones,quelli
works,opere
act,atto
needed,necessario
weird,strano
law,legge
worried,preoccupato
report,rapporto
goodbye,arrivederci
missing,mancante
choice,scelta
happening,accadendo
chief,capo
wedding,nozze
strange,strano
general,generale
pain,dolore
am,sono
kidding,prendere in giro
decided,deciso
ya,sì
pass,passaggio
tired,stanco
class,classe
officer,ufficiale
kept,tenuto
wake,veglia
worse,peggio
busy,occupato
eh,eh
mistake,errore
kiss,bacio
court,tribunale
building,edificio
finish,fine
during,durante
age,età
ship,nave
caught,preso
marry,sposare
meant,significava
sell,vendere
dark,buio
watching,guardando
system,sistema
suppose,supporre
evidence,prova
movie,film
ride,passeggiata
t,t
completely,completamente
mouth,bocca
totally,totalmente
birthday,compleanno
tv,tv
forgive,perdonare
born,nato
imagine,immaginare
information,informazioni
instead,invece
definitely,decisamente
security,sicurezza
certainly,certamente
film,film
month,mese
lying,dire bugie
unless,salvo che
train,treno
seven,sette
wear,indossare
clothes,vestiti
michael,michele
hotel,albergo
christmas,natale
attack,attacco
hasn,non ha
round,girare
expect,aspettarsi
sing,cantare
terrible,terribile
george,giorgio
bag,borsa
history,storia
blue,blu
near,vicino
broke,rotto
station,stazione
seriously,seriamente
forever,per sempre
david,davide
frank,franco
except,tranne
thinks,pensa
message,messaggio
entire,intero
joe,joe
table,tavolo
talked,parlato
across,attraverso
rock,roccia
lovely,bello
handle,maniglia
middle,mezzo
buddy,compagno
paid,pagato
protect,proteggere
using,usando
floor,pavimento
ran,corso
swear,imprecare
spend,trascorrere
situation,situazione
ring,squillo
anywhere,ovunque
dangerous,pericoloso
bill,conto
york,york
army,esercito
lead,guida
bought,comprato
finished,finito
fair,giusto
sun,sole
letter,lettera
fool,scemo
attention,attenzione
club,club
simple,semplice
interesting,interessante
space,spazio
test,test
box,scatola
group,gruppo
single,separare
sitting,seduta
marriage,matrimonio
join,giuntura
fear,paura
d,d
peace,pace
forgot,dimenticato
force,forza
short,corto
normal,normale
charlie,charlie
present,presente
enjoy,godere
mike,microfono
crime,crimine
horse,cavallo
ground,terra
american,americano
count,contare
area,zona
charge,carica
honor,onore
lunch,pranzo
miles,miglia
radio,radio
idiot,idiota
ball,palla
surprise,sorpresa
paper,carta
key,chiave
boat,barca
quickly,velocemente
gold,oro
bar,sbarra
fish,pescare
mark,segno
tom,tom
wearing,logorante
crying,pianto
accident,incidente
government,governo
eight,otto
fell,caduto
cover,copertina
certain,certo
interested,interessato
deep,profondo
star,stella
sea,mare
agree,essere d'accordo
problems,problemi
detective,investigatore
prison,prigione
major,maggiore
stick,bastone
offer,offerta
difficult,difficile
smart,accorto
personal,personale
record,documentazione
stopped,fermato
hide,nascondere
whether,se
bank,banca
trip,viaggio
relax,relax
america,america
public,pubblico
list,lista
afternoon,pomeriggio
brain,cervello
fix,aggiustare
bastard,bastardo
proud,orgoglioso
tea,tè
service,servizio
screaming,urlando
forward,inoltrare
angry,arrabbiato
park,parco
soul,anima
fighting,battagliero
peter,pietro
rich,ricco
agent,agente
blow,soffio
paul,paolo
dress,vestito
mary,maria
missed,mancato
scene,scena
killing,uccidere
standing,in piedi
saved,salvato
mm,mm
respect,rispetto
killer,killer
ice,ghiaccio
mess,disordine
tough,difficile
feels,sente
church,chiesa
sad,triste
cell,cella
drunk,ubriaco
share,condividere
camera,telecamera
mm-hmm,mm-hmm
within,entro
card,carta
fly,volare
ben,ben
girlfriend,fidanzata
laugh,ridere
smell,odore
broken,rotto
mum,mamma
honest,onesto
often,spesso
starting,di partenza
calls,chiamate
y,e
spent,speso
third,terzo
english,inglese
visit,visita
mama,mamma
judge,giudice
window,finestra
hungry,affamato
dare,osare
relationship,relazione
moved,mosso
prove,dimostrare
private,privato
wall,parete
seat,posto a sedere
i-i,io-io
position,posizione
lieutenant,tenente
realize,realizzare
lt,lt
especially,particolarmente
machine,macchina
walking,a piedi
art,arte
pleasure,piacere
bloody,sanguinoso
college,college
french,francese
involved,coinvolto
cry,gridare
became,divenne
lived,vissuto
impossible,impossibile
obviously,ovviamente
neither,nessuno dei due
accept,accettare
boyfriend,fidanzato
besides,oltretutto
queen,regina
teacher,insegnante
cops,poliziotti
sake,scopo
loves,ama
carry,trasportare
teach,insegnare
apartment,appartamento
upset,rovesciato
green,verde
la,la
liked,piaciuto
cute,carino
evil,cattivo
professor,professore
contact,contatto
joke,scherzo
cop,poliziotto
huge,enorme
holy,santo
store,negozio
jail,prigione
likes,mi piace
lawyer,avvocato
doubt,dubbio
continue,continuare
appreciate,apprezzare
cat,gatto
shop,negozio
driving,guida
congratulations,congratulazioni
wrote,ha scritto
village,villaggio
quit,esentato
field,campo
james,giacomo
wine,vino
decision,decisione
south,sud
sleeping,dormire
slow,lento
laughter,risata
island,isola
glass,bicchiere
beginning,inizio
cash,contanti
dying,moribondo
hundred,centinaio
whose,di chi
difference,differenza
plane,aereo
push,spingere
continues,continua
mmm,mmm
singing,canto
eating,mangiare
north,nord
mrs,sig.ra
tree,albero
madam,signora
gift,regalo
truck,camion
putting,mettendo
bear,orso
board,asse
grab,preda
beer,birra
stuck,incollato
magic,magia
support,supporto
rules,regole
grunts,grugniti
partner,partner
reach,portata
wind,vento
colonel,colonnello
max,massimo
immediately,immediatamente
seconds,secondi
thousand,mille
gives,dà
experience,esperienza
cheers,saluti
victim,vittima
upon,su
computer,computer
christ,cristo
planet,pianeta
promised,promesso
bus,autobus
henry,enrico
dirty,sporco
search,ricerca
staying,rimanere
dreams,sogni
arrest,arresto
holding,presa
suddenly,all'improvviso
usually,generalmente
lots,molti
shoes,scarpe
er,lui
jump,salto
rid,sbarazzarsi
yo,io
knock,bussare
owe,essere debitore
harry,harry
grow,crescere
worst,peggio
river,fiume
aunt,zia
patient,paziente
kitchen,cucina
aah,aah
fat,grasso
passed,passato
m,m
final,finale
summer,estate
bob,peso
listening,ascolto
escape,fuga
everywhere,ovunque
moon,luna
arms,braccia
turns,giri
address,indirizzo
ow,ora
match,incontro
gasps,sussulti
grand,grande
yep,sì
shh,sssh
nervous,nervoso
de,di
choose,scegliere
themselves,loro stessi
decide,decidere
mate,compagno
drinking,bere
press,premere
bother,fastidio
foot,piede
hadn,non aveva
blame,colpa
crap,merda
drugs,droghe
type,tipo
rings,anelli
mission,missione
named,nominato
heaven,paradiso
ii,ii
picked,scelto
paris,parigi
race,gara
risk,rischio
books,libri
further,ulteriore
danny,danny
action,azione
allowed,consentito
orders,ordini
learned,imparato
price,prezzo
arrived,arrivato
nick,nick
otherwise,altrimenti
pictures,immagini
fit,adatto
smoke,fumo
favor,favore
played,giocato
notice,avviso
awesome,eccezionale
smile,sorriso
director,direttore
guard,guardia
begin,inizio
spot,macchiare
surprised,sorpreso
innocent,innocente
narrator,narratore
herself,se stessa
london,londra
feelings,sentimenti
enemy,nemico
battle,battaglia
ourselves,noi stessi
alex,alex
dollars,dollari
allow,permettere
nine,nove
gay,gay
department,dipartimento
guilty,colpevole
apart,a parte
earlier,prima
duty,dovere
jim,jim
suit,abito
bell,campana
west,ovest
legs,gambe
hero,eroe
destroy,distruggere
stage,palcoscenico
bunch,grappolo
according,secondo
chicken,pollo
bigger,più grande
grunting,grugnito
low,basso
helping,aiutare
admit,ammettere
closed,chiuso
names,nomi
witness,testimone
upstairs,di sopra
arm,braccio
steal,rubare
jimmy,jimmy
kick,calcio
twice,due volte
cross,attraverso
ways,modi
sergeant,sergente
indeed,infatti
gas,gas
keeping,mantenendo
energy,energia
pregnant,incinta
waste,sciupare
helped,aiutato
fired,licenziato
favorite,preferito
tony,tony
taste,gusto
locked,bloccato
places,luoghi
writing,scrivere
adam,adamo
brothers,fratelli
starts,inizia
prince,principe
form,modulo
sold,venduto
silly,sciocco
mention,menzione
build,costruire
throat,gola
hole,buco
figured,capito
track,traccia
ringing,squillo
lock,serratura
leg,gamba
above,sopra
hiding,nascondersi
steve,steve
seemed,sembrava
breakfast,colazione
engine,motore
written,scritto
complete,completare
video,video
applause,applausi
however,tuttavia
pressure,pressione
fresh,fresco
weapon,arma
sky,cielo
ms.,sm.
stole,stola
study,studio
burn,bruciare
reading,lettura
crowd,folla
treat,trattare
roll,rotolo
double,raddoppiare
spirit,spirito
danger,pericolo
cost,costo
empty,vuoto
level,livello
memory,memoria
itself,si
acting,recitazione
interest,interesse
nose,naso
plans,piani
following,seguente
bathroom,bagno
built,costruito
closer,più vicino
ray,raggio
sarah,sara
band,banda
groans,gemiti
apparently,apparentemente
excited,eccitato
richard,riccardo
losing,perdere
animals,animali
flight,volo
nature,natura
raise,aumentare
pop,pop
client,cliente
bomb,bomba
neck,collo
suspect,sospettare
warm,caldo
extra,extra
bottle,bottiglia
van,furgone
heavy,pesante
mommy,mamma
dogs,cani
wild,selvaggio
ridiculous,ridicolo
simply,semplicemente
lee,sottovento
animal,animale
showed,ha mostrato
billy,billy
shooting,tiro
keeps,mantiene
camp,campo
guns,pistole
medical,medico
shame,vergogna
hoping,sperando
whom,chi
bird,uccello
majesty,maestà
flowers,fiori
famous,famoso
asleep,addormentato
beauty,bellezza
driver,autista
keys,chiavi
rain,piovere
awful,terribile
large,grande
local,locale
deserve,meritare
goddamn,accidenti
stone,calcolo
jane,jane
grace,adornare
consider,considerare
weekend,fine settimana
wondering,meravigliato
lay,posizione
plenty,abbondanza
willing,disposto
pants,pantaloni
sweetheart,tesoro
skin,pelle
excellent,eccellente
asshole,stronzo
beach,spiaggia
c,c
faith,fede
beg,elemosinare
fuckin,fottuto
responsible,responsabile
military,militare
cheering,applausi
opportunity,opportunità
common,comune
bottom,metter il fondo a
german,tedesco
whoever,chi
cook,cucinare
walked,camminato
papers,documenti
justice,giustizia
hall,sala
commander,comandante
drug,farmaco
main,principale
knife,coltello
devil,diavolo
necessary,necessario
although,sebbene
princess,principessa
lights,luci
flying,volare
dick,cazzo
rose,rosa
knowing,sapendo
clearly,chiaramente
hat,cappello
agreed,concordato
johnny,johnny
corner,angolo
code,codice
note,nota
tommy,tommy
due,dovuto
correct,corretto
apologize,scusa
language,lingua
stars,stelle
faster,più veloce
cars,automobili
folks,gente
bullshit,stronzate
i.,io.
fellow,compagno
several,parecchi
grandma,nonna
shows,spettacoli
leader,leader
leaves,foglie
restaurant,ristorante
east,est
shouting,urlando
blind,cieco
ghost,fantasma
cup,tazza
gotten,ottenuto
tight,stretto
conversation,conversazione
tells,racconta
lies,bugie
nor,né
pulled,tirato
hanging,sospeso
speed,velocità
stories,storie
health,salute
advice,consiglio
held,tenuto
uh-huh,uh-huh
murdered,assassinato
beyond,al di là
rule,regola
hardly,difficilmente
possibly,possibilmente
inspector,ispettore
cousin,cugino
trial,prova
emergency,emergenza
ought,dovrebbe
eddie,eddie
somehow,in qualche modo
hearing,udito
states,stati
account,account
spoke,parlato
file,file
understood,inteso
angel,angelo
tape,nastro
milk,latte
powerful,potente
weapons,armi
practice,pratica
manager,manager
pardon,perdono
vote,votare
jake,jake
national,nazionale
career,carriera
minister,ministro
super,super
taught,insegnato
robert,roberto
biggest,più grande
plays,opere teatrali
natural,naturale
dancing,ballare
copy,copia
plus,più
martin,martin
cake,torta
freedom,libertà
among,tra
breath,respiro
operation,operazione
chris,chris
crew,equipaggio
challenge,sfida
market,mercato
meat,carne
towards,in direzione
bringing,portando
dropped,caduto
student,studente
lied,ha mentito
strength,forza
size,misurare
breathe,respirare
color,colore
monster,mostro
loud,forte
photo,foto
aw,oh
nearly,quasi
sight,vista
greatest,il più grande
games,giochi
bridge,ponte
dressed,vestito
arrested,arrestato
horrible,orribile
coach,allenatore
planning,pianificazione
checked,controllato
breaking,rottura
noticed,notato
fantastic,fantastico
screams,urla
serve,servire
ideas,idee
investigation,indagine
center,centro
older,più vecchio
pack,pacchetto
soldiers,soldati
nonsense,sciocchezze
doc,dottore
project,progetto
training,formazione
example,esempio
trick,trucco
prepared,preparato
science,scienza
united,unito
travel,viaggio
incredible,incredibile
grandpa,nonno
paying,pagando
character,carattere
teeth,denti
criminal,penale
charles,carlo
chinese,cinese
truly,veramente
honestly,onestamente
bro,fratello
survive,sopravvivere
bobby,bobby
target,bersaglio
feed,foraggio
nurse,infermiera
e,e
fake,impostore
records,registrazioni
breathing,respirazione
sweetie,tesoro
numbers,numeri
oil,olio
suicide,suicidio
belong,appartenere
whoo,ehi
perfectly,perfettamente
amy,amy
forgotten,dimenticato
remain,rimanere
original,originale
papa,papà
onto,su
concerned,interessato
credit,credito
ugh,ugh
invited,invitato
discuss,discutere
research,ricerca
easier,più facile
view,visualizzazione
chair,sedia
hurts,fa male
strike,sciopero
roger,roger
fill,riempire
condition,condizione
mountain,montagna
dr,dottore
nowhere,luogo inesistente
sheriff,sceriffo
kim,kim
turning,svolta
brown,marrone
recognize,riconoscere
heads,teste
audience,pubblico
all,tutto
jealous,geloso
pretend,fare finta
society,società
finding,scoperta
shirt,camicia
comfortable,comodo
meaning,senso
guest,ospite
pieces,pezzi
dry,asciutto
letting,lasciando
began,iniziò
aye,sì
jeff,jeff
female,femmina
release,pubblicazione
ho,oh
cards,carte
pray,pregare
unfortunately,purtroppo
balls,palle
destroyed,distrutto
ended,finito
universe,universo
prepare,preparare
opinion,opinione
movies,film
soldier,soldato
wash,lavare
program,programma
heat,calore
usual,solito
ticket,biglietto
stolen,rubato
prefer,prefer
aware,consapevole
surely,sicuramente
male,maschio
base,base
matters,importa
lift,sollevare
lab,laboratorio
command,comando
proof,prova
cream,crema
selling,vendita
believed,creduto
create,creare
h,h
afford,permettersi
sunday,domenica
total,totale
dumb,attutire
threw,buttato
france,francia
birth,nascita
created,creato
realized,realizzato
british,britannico
noise,rumore
nuts,noci
students,studenti
birds,uccelli
social,sociale
brilliant,brillante
bodies,corpi
tie,cravatta
opened,aperto
ours,nostro
bucks,dollari
kevin,kevin
mister,signore
ugly,brutto
ryan,ryan
focus,messa a fuoco
dan,dan
opens,si apre
exist,esistere
followed,seguito
england,inghilterra
draw,disegno
purpose,scopo
letters,lettere
daniel,daniele
opening,apertura
bullet,proiettile
anna,anna
lately,ultimamente
stayed,rimasto
falling,cadente
season,stagione
ends,finisce
suggest,suggerire
joy,gioia
distance,distanza
responsibility,responsabilità
whenever,ogni volta
issue,problema
thousands,migliaia
process,processo
sword,spada
shower,doccia
weak,debole
fucked,fottuto
lonely,solitario
happiness,felicità
eric,eric
tiny,minuscolo
desk,scrivania
pool,piscina
property,proprietà
forced,costretto
settle,fissare
indistinct,indistinto
weight,peso
received,ricevuto
gang,banda
bite,morso
friday,venerdì
disappeared,scomparso
interview,colloquio
expecting,aspettandosi
kinda,tipo
surgery,chirurgia
horses,cavalli
mayor,sindaco
babe,tesoro
ancient,antico
handsome,bello
thomas,tommaso
saturday,sabato
staff,personale
lines,linee
unit,unità
fan,fan
gentleman,signore
introduce,introdurre
fate,destino
split,diviso
recently,recentemente
expected,previsto
add,aggiungere
ordered,ordinato
slowly,lentamente
alarm,allarme
member,membro
slept,dormito
signed,firmato
enter,entrare
spanish,spagnolo
garden,giardino
brings,porta
brave,coraggioso
pig,maiale
model,modello
finger,dito
medicine,medicinale
access,accesso
failed,fallito
flat,piatto
easily,facilmente
discovered,scoperto
based,basato
screw,vite
insane,pazzo
cares,si preoccupa
weather,tempo atmosferico
fingers,dita
san,san
scott,scott
path,sentiero
soft,morbido
harm,danno
style,stile
community,comunità
sees,vede
basically,fondamentalmente
al,al
signal,segnale
nope,no
spare,ricambio
speech,discorso
covered,coperto
shake,scuotere
loose,sciolto
snow,nevicare
russian,russo
lake,lago
bright,luminoso
